ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-002231","D-566MG","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",NA,FALSE,"HMGCR"
"ACH-002232","DG-75","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL",NA,FALSE,"HMGCR"
"ACH-002233","DIFI","Bowel","Colorectal Adenocarcinoma","Colorectal Adenocarcinoma","COADREAD",-0.863121031366373,FALSE,"HMGCR"
"ACH-002234","DOK","Head and Neck","Head and Neck Carcinoma, Other","Head and Neck Carcinoma, Other","OHNCA",-0.90520240792286,FALSE,"HMGCR"
"ACH-002235","DSH1","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",NA,FALSE,"HMGCR"
"ACH-002236","EB-3","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL",NA,FALSE,"HMGCR"
"ACH-002237","ETK-1","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","IHCH",NA,FALSE,"HMGCR"
"ACH-002238","GR-ST","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL",NA,FALSE,"HMGCR"
"ACH-002239","H3118","Head and Neck","Salivary Carcinoma","Mucoepidermoid Carcinoma","MUCC",-0.843339281788236,FALSE,"HMGCR"
"ACH-002240","H9","Lymphoid","Mature T and NK Neoplasms","Sezary Syndrome","SS",NA,FALSE,"HMGCR"
"ACH-002241","HAL-01","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL",NA,FALSE,"HMGCR"
"ACH-002242","HC-1","Lymphoid","Mature B-Cell Neoplasms","Hairy Cell Leukemia","HCL",NA,FALSE,"HMGCR"
"ACH-002243","HCE-4","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC",-0.537632518366707,FALSE,"HMGCR"
"ACH-002244","HO-1-N-1","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",NA,FALSE,"HMGCR"
"ACH-002245","Hs-445","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","HL",NA,FALSE,"HMGCR"
"ACH-002246","Hs 633.T","Soft Tissue","Fibrosarcoma","Fibrosarcoma","FIBS",NA,FALSE,"HMGCR"
"ACH-002247","IM-9","Myeloid","Non-Cancerous","Immortalized Blood","",-0.729579069995209,FALSE,"HMGCR"
"ACH-002248","IMR-5","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL",NA,FALSE,"HMGCR"
